Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,195886929,2513.12996,3905603,50.10690586,595149,4189148,53.74464442,60949,0.781944761,8804
United States of America,Americas,34473788,10414.96,436283,131.81,82375,606686,183.29,2151,0.65,423
India,South-East Asia,31528114,2284.64,270394,19.59,43509,422662,30.63,3675,0.27,640
Brazil,Americas,19749073,9291.08,329636,155.08,41411,551835,259.61,7655,3.6,1333
Russian Federation,Europe,6195232,4245.22,140521,96.29,0,156178,107.02,4677,3.2,0
France,Europe,5928194,9114.78,136506,209.88,27798,110720,170.24,164,0.25,38
The United Kingdom,Europe,5770932,8500.92,207922,306.28,25402,129430,190.66,534,0.79,127
Turkey,Europe,5660469,6711.56,106152,125.86,22291,51124,60.62,415,0.49,76
Argentina,Americas,4875927,10788.46,91708,202.91,16757,104352,230.89,1971,4.36,247
Colombia,Americas,4747775,9330.79,79025,155.31,11426,119482,234.82,2351,4.62,300
Spain,Europe,4395602,9286.62,152385,321.95,15111,81396,171.97,178,0.38,12
Italy,Europe,4330739,7261.29,33402,56,5693,128010,214.63,105,0.18,15
Iran (Islamic Republic of),Eastern Mediterranean,3792014,4514.68,188487,224.41,33817,89782,106.89,1945,2.32,303
Germany,Europe,3764311,4526.22,13808,16.6,3142,91607,110.15,149,0.18,21
Indonesia,South-East Asia,3331206,1217.89,297867,108.9,43479,90552,33.11,11520,4.21,1893
Poland,Europe,2882630,7594.23,790,2.08,165,75257,198.26,26,0.07,5
Mexico,Americas,2771846,2149.84,93549,72.56,17408,239079,185.43,2269,1.76,484
South Africa,Africa,2408525,4061,81053,136.66,17302,70908,119.56,2716,4.58,520
Ukraine,Europe,2250907,5146.84,4251,9.72,846,52916,121,126,0.29,25
Peru,Americas,2106371,6388.39,10358,31.41,1366,196058,594.62,726,2.2,85
Netherlands,Europe,1854784,10655.03,33920,194.86,3513,17812,102.32,26,0.15,8
Czechia,Europe,1673219,15646.42,1286,12.03,202,30363,283.93,16,0.15,1
Chile,Americas,1611917,8432.2,9063,47.41,827,35176,184.01,565,2.96,25
Iraq,Eastern Mediterranean,1590528,3954.32,71691,178.24,13515,18484,45.95,464,1.15,66
Philippines,Western Pacific,1566667,1429.69,42229,38.54,4478,27401,25.01,527,0.48,83
Canada,Americas,1427917,3783.35,3697,9.8,575,26560,70.37,52,0.14,7
Bangladesh,South-East Asia,1226253,744.59,86053,52.25,15271,20255,12.3,1570,0.95,239
Belgium,Europe,1121089,9729.61,8390,72.81,1,25231,218.97,14,0.12,0
Sweden,Europe,1098795,10639.41,3040,29.44,643,14655,141.9,1,0.01,0
Romania,Europe,1082880,5602.41,927,4.8,170,34275,177.33,8,0.04,1
Malaysia,Western Pacific,1061476,3279.6,109592,338.6,17405,8551,26.42,1111,3.43,147
Pakistan,Eastern Mediterranean,1015827,459.87,19376,8.77,4119,23133,10.47,245,0.11,46
Portugal,Europe,960437,9328.34,20815,202.17,3452,17320,168.22,88,0.85,13
Japan,Western Pacific,892293,705.5,39776,31.45,9470,15160,11.99,63,0.05,9
Israel,Europe,868045,10028.78,10840,125.24,2168,6463,74.67,6,0.07,3
Hungary,Europe,809427,8285.22,411,4.21,65,30025,307.33,5,0.05,0
