COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,VACCINES_USED,,,Abdala,Anhui ZL - Recombinant,AstraZeneca ,Beijing CNBG - BBIBP-CorV,CanSino ,Sputnik V,Janssen - ,Moderna,Novavx,Pfizer ,Covishield,Sinovac,Soberana02,Wuhan CNBG
Afghanistan,AFG,EMRO,REPORTING,29-07-2021,1381416,763020,3.549,1.96,618396,1.589,22-02-2021,4,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1,Abdala,No,No,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Albania,ALB,EURO,REPORTING,18-07-2021,1059825,596907,36.8,20.742,462918,16.086,13-01-2021,5,,,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2,Anhui ZL - Recombinant,No,No,No,Beijing CNBG - BBIBP-CorV,No,No,Janssen - ,No,No,Pfizer ,Covishield,No,No,No
Algeria,DZA,AFRO,REPORTING,26-07-2021,,,,,,,30-01-2021,3,,,SII - Covishield,3,AstraZeneca - Vaxzevria,No,No,No,No,No,No,No,No,No,No,Covishield,No,No,No
American Samoa,ASM,WPRO,REPORTING,26-07-2021,50168,27823,90.889,50.407,22881,41.453,21-12-2020,3,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4,Beijing CNBG - BBIBP-CorV,No,No,AstraZeneca ,No,No,Sputnik V,No,No,No,Pfizer ,Covishield,Sinovac,No,No
Andorra,AND,EURO,REPORTING,18-07-2021,80553,49333,104.3,63.849,31220,40.406,20-01-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",5,CanSino - Ad5-nCOV,No,No,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Angola,AGO,AFRO,REPORTING,26-07-2021,1592537,958373,4.846,2.916,634164,1.93,10-03-2021,1,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",6,Gamaleya - Sputnik V,No,No,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Anguilla,AIA,AMRO,REPORTING,23-07-2021,18001,9398,119.991,62.645,8603,57.346,05-02-2021,1,,,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",7,Janssen - Ad26.COV 2.5,No,Abdala,No,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Antigua and Barbuda,ATG,AMRO,REPORTING,23-07-2021,66522,37498,67.929,38.291,29024,29.638,19-02-2021,3,,,AstraZeneca - Vaxzevria,8,Moderna - mRNA-1273,No,No,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Argentina,ARG,AMRO,REPORTING,23-07-2021,28674364,22876517,63.445,50.616,5797847,12.828,29-12-2020,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",9,Novavax - Covavax,No,No,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Armenia,ARM,EURO,REPORTING,25-07-2021,153656,108674,5.2,3.667,44982,1.518,16-06-2021,3,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Sinovac - CoronaVac",10,Pfizer BioNTech - Comirnaty,No,No,AstraZeneca ,No,No,Sputnik V,No,No,No,No,No,Sinovac,No,No
Aruba,ABW,AMRO,REPORTING,23-07-2021,135015,71671,126.459,67.129,63344,59.33,17-02-2021,2,,,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",11,SII - Covishield,No,No,No,No,No,No,Janssen - ,No,No,Pfizer ,No,No,No,No
Australia,AUS,WPRO,REPORTING,24-07-2021,11140511,7802517,43.688,30.598,3326691,13.046,21-02-2021,3,,,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",12,Sinovac - CoronaVac,No,No,AstraZeneca ,No,No,No,No,No,Novavx,Pfizer ,No,No,No,No
Austria,AUT,EURO,REPORTING,25-07-2021,9231684,5098454,103.7,57.279,4133230,48.521,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",13,Soberana02,No,No,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Azerbaijan,AZE,EURO,REPORTING,25-07-2021,4563127,2653600,45,26.172,1909527,18.833,20-01-2021,4,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",14,Wuhan CNBG - Inactivated,No,Abdala,AstraZeneca ,No,No,Sputnik V,No,No,No,Pfizer ,No,Sinovac,No,No
Bahamas,BHS,AMRO,REPORTING,23-07-2021,99755,60389,25.367,15.357,39366,10.011,14-03-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Bahrain,BHR,EMRO,REPORTING,29-07-2021,2155380,1105717,126.67,64.982,1049663,61.688,04-11-2020,7,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,Covishield,No,No,No
Bangladesh,BGD,SEARO,REPORTING,27-07-2021,12334479,8018681,7.49,4.869,4315798,2.621,27-01-2021,8,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,Covishield,Sinovac,No,No
Barbados,BRB,AMRO,REPORTING,23-07-2021,172406,98592,59.993,34.308,73814,25.686,10-02-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Belarus,BLR,EURO,REPORTING,25-07-2021,2194993,1334540,23.2,14.123,860453,9.106,03-02-2021,2,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,No,No,No
Belgium,BEL,EURO,REPORTING,25-07-2021,13530266,7645254,117.4,66.351,5885012,53.743,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Belize,BLZ,AMRO,REPORTING,23-07-2021,165306,119677,41.573,30.098,45629,11.475,01-03-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Benin,BEN,AFRO,REPORTING,26-07-2021,57886,43377,0.477,0.358,14599,0.12,29-03-2021,2,,,"SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,Sinovac,No,No
Bermuda,BMU,AMRO,REPORTING,23-07-2021,82468,41651,132.43,66.885,40817,65.545,11-01-2021,2,,,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,Pfizer ,No,No,No,No
Bhutan,BTN,SEARO,REPORTING,26-07-2021,963652,508279,124.889,65.873,455373,59.016,27-03-2021,4,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,Covishield,No,No,No
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,23-07-2021,3887758,2814808,33.305,24.114,1144931,9.808,30-01-2021,5,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,Pfizer ,Covishield,No,No,No
Bonaire,XAA,AMRO,REPORTING,23-07-2021,28115,15154,134.425,72.455,12961,61.97,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,09-04-2021,7391,5726,28.441,22.034,2965,11.41,22-02-2021,2,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Bosnia and Herzegovina,BIH,EURO,OWID,05-07-2021,470218,306429,14.3,9.34,,4.992,,4,,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,,No,Abdala,No,No,No,Sputnik V,No,No,No,Pfizer ,No,Sinovac,No,No
Botswana,BWA,AFRO,REPORTING,26-07-2021,211608,214611,8.998,9.126,127380,5.417,26-03-2021,4,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,Covishield,Sinovac,No,No
Brazil,BRA,AMRO,REPORTING,23-07-2021,123291610,92631212,58.003,43.579,34400170,16.184,17-01-2021,5,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,No,No,Pfizer ,Covishield,Sinovac,No,No
British Virgin Islands,VGB,AMRO,REPORTING,23-07-2021,26501,15620,87.644,51.659,10881,35.986,11-02-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Brunei Darussalam,BRN,WPRO,REPORTING,23-07-2021,140890,119169,32.205,27.24,21721,4.965,03-04-2021,5,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Bulgaria,BGR,EURO,REPORTING,25-07-2021,1964309,1068106,28.3,15.365,896203,13.872,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Burkina Faso,BFA,AFRO,REPORTING,26-07-2021,37120,34762,0.178,0.166,,,02-06-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Cabo Verde,CPV,AFRO,REPORTING,26-07-2021,159446,141276,28.678,25.41,18170,3.268,18-03-2021,2,,,"Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,Covishield,No,No,No
Cambodia,KHM,WPRO,REPORTING,23-07-2021,10915733,6552632,65.29,39.193,4363101,26.097,10-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,Sinovac,No,No
Cameroon,CMR,AFRO,REPORTING,26-07-2021,331875,279987,1.25,1.055,51888,0.195,12-04-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Canada,CAN,AMRO,REPORTING,23-07-2021,47009235,26688514,124.554,70.713,20320721,53.841,14-12-2020,3,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,Covishield,No,No,No
Cayman Islands,CYM,AMRO,REPORTING,23-07-2021,96439,49444,146.742,75.234,46995,71.508,15-01-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Central African Republic,CAF,AFRO,REPORTING,26-07-2021,93790,85381,1.942,1.768,9901,0.205,19-03-2021,2,,,"Bharat - Covaxin,SII - Covishield",,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Chad,TCD,AFRO,REPORTING,26-07-2021,22907,15138,0.139,0.092,7769,0.047,04-06-2021,1,,,Beijing CNBG - BBIBP-CorV,,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,No,No,No,No
